"FiscalYear","Provider","Borough","TotalSlots","TotalParticipants"
"2021","The Young Women's Christian Association of the City of NY","Brooklyn","130","130"
"2021","Inwood Community Services, Inc.","Manhattan","157","62"
"2021","Henry Street Settlement","Manhattan","30","21"
"2021","Brooklyn Bureau of Community Service","Brooklyn","157","86"
"2021","BronxWorks, Inc.","Bronx","N/A","N/A"
"2021","New York Center for Interpersonal Development Inc","Brooklyn","N/A","N/A"
"2021","Manhattan Youth Recreation and Resources, Inc.","Manhattan","105","132"
"2021","QSAC, Inc.","Queens","N/A","N/A"
"2021","Academy of Medical & Public Health Services, Inc.","Brooklyn","92","122"
"2021","YMCA of Greater New York/Staten Island South Shore","Staten Island","30","47"
"2021","Grand Street Settlement, Inc.","Manhattan","50","34"
"2021","Mosholu Montefiore Community Center, Inc.","Bronx","N/A","N/A"
"2021","EVANGELICAL LUTHERAN CHURCH OF OUR SAVIOUR","Queens","24","35"
"2021","Roads to Success, Inc","Manhattan","121","130"
"2021","Federation of Italian-American Organizations of Brooklyn LTD","Brooklyn","100","107"
"2021","Good Shepherd Services","Bronx","150","153"
"2021","Haitian Americans United For Progress, Inc.","Brooklyn","150","189"
"2021","Junior Achievement of New York, Inc.","Queens","N/A","N/A"
"2021","Community Association of Progressive Dominicans Inc","Manhattan","N/A","N/A"
"2021","Girls Incorporated of New York City","Bronx","134","138"
"2021","Brooklyn Bureau of Community Service","Brooklyn","30","26"
"2021","SCO Family of Services","Brooklyn","N/A","N/A"
"2021","The Greater Ridgewood Youth Council, Inc.","Queens","91","105"
"2021","Opportunities for a Better Tomorrow Inc","Brooklyn","N/A","N/A"
"2021","Woodside On The Move, Inc.","Queens","300","423"
"2021","NYC Parks & Recreation/The Arsenal","Manhattan","32","0"
"2021","West Side Center for Community Life Inc","Manhattan","N/A","N/A"
"2021","Council of Peoples Organization, Inc.","Queens","50","50"
"2021","Research Foundation of CUNY","Brooklyn","N/A","N/A"
"2021","New York Edge, Inc.","Queens","100","117"
"2021","Northwest Bronx Community & Clergy Coalition, Inc","Bronx","N/A","N/A"
"2021","Kings County Tennis League","Brooklyn","N/A","N/A"
"2021","Goddard Riverside Community Center","Manhattan","N/A","N/A"
"2021","Queens Economic Development Corporation","Queens","N/A","N/A"
"2021","BronxWorks, Inc.","Bronx","75","75"
"2021","Harlem Childrens Zone Inc","Manhattan","100","107"
"2021","Kips Bay Boys and Girls Club Inc","Bronx","100","75"
"2021","Partners Uplifting Our Daughters and Sons Inc","Brooklyn","N/A","N/A"
"2021","Roads to Success, Inc","Brooklyn","60","3"
"2021","United Way of New York City","Bronx","N/A","N/A"
"2021","Cypress Hills Local Development Corporation, Inc.","Brooklyn","140","59"
"2021","The Guardians of Flushing Bay, Inc.","Brooklyn","N/A","N/A"
"2021","Manhattan Youth Recreation and Resources, Inc.","Manhattan","51","65"
"2021","Greater Flushing Community Council, Inc","Queens","N/A","N/A"
"2021","The Children's Aid Society","Bronx","110","111"
"2021","New York Center for Interpersonal Development Inc","Staten Island","90","63"
"2021","You Gotta Believe, The Older Child Adoption & Permanency Mov","Brooklyn","N/A","N/A"
"2021","The Doe Fund, Inc.","Manhattan","N/A","N/A"
"2021","Women's Housing and Economic Development Corporation (WHEDCO","Bronx","157","189"
"2021","Homes for the Homeless Inc","Queens","15","14"
"2021","Jewish Community Center of Staten Island, Inc.","Staten Island","110","114"
"2021","Global Kids, Inc.","Manhattan","80","80"
"2021","RAINBOW CHILD DEVELOPMENT CENTER INC.","Queens","100","75"
"2021","Vision Urbana, Inc.","Manhattan","N/A","N/A"
"2021","Grand Street Settlement, Inc.","Brooklyn","220","217"
"2021","Jewish Community Center of Staten Island, Inc.","Staten Island","90","138"
"2021","SCO Family of Services","Brooklyn","N/A","N/A"
"2021","Samuel Field YM & YWHA, Inc.","Queens","300","664"
"2021","Coalition for Hispanic Family Services","Queens","120","123"
"2021","East Harlem Tutorial Program Inc","Manhattan","120","146"
"2021","Council of Jewish Organizations of Flatbush Inc","Brooklyn","220","125"
"2021","St. John's University","Queens","92","97"
"2021","Good Shepherd Services","Brooklyn","30","37"
"2021","Counseling in Schools Inc","Bronx","N/A","N/A"
"2021","Rocking the Boat, Inc.","Bronx","75","58"
"2021","InnovateEDU Inc","Brooklyn","125","136"
"2021","United Activities Unlimited, Inc.","Staten Island","N/A","N/A"
"2021","Jacob A. Riis Neighborhood Settlement","Queens","50","17"
"2021","Community League of the Heights, Inc.","Manhattan","N/A","N/A"
"2021","Good Shepherd Services","Bronx","300","127"
"2021","Union Settlement Association Inc","Manhattan","210","210"
"2021","Harlem Commonwealth Council Inc","Manhattan","70","75"
"2021","The Boys Club of New York, Inc.","Manhattan","N/A","N/A"
"2021","Roosevelt Island Historical Society","Manhattan","N/A","N/A"
"2021","New York City Mission Society","Manhattan","75","56"
"2021","After-School All-Stars","Manhattan","105","62"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","N/A","N/A"
"2021","The Educational Alliance, Inc.","Manhattan","N/A","N/A"
"2021","YMCA of Greater NewYork-Bronx YMCA","Bronx","100","126"
"2021","Neighborhood Association for Intercultural Affairs Inc","Bronx","N/A","N/A"
"2021","Figure Skating in Harlem , Inc.","Queens","N/A","N/A"
"2021","Make the Road New York","Brooklyn","170","177"
"2021","Children of Promise, NYC","Bronx","200","116"
"2021","Community Association of Progressive Dominicans Inc","Bronx","300","236"
"2021","KIPP NYC Public Charter Schools II","Manhattan","140","140"
"2021","Chinese-American Planning Council Inc","Queens","N/A","N/A"
"2021","Samuel Field YM & YWHA, Inc.","Queens","300","594"
"2021","Catholic Charities Community Services, Archdiocese of NY","Bronx","300","572"
"2021","Opportunities for a Better Tomorrow Inc","Queens","N/A","N/A"
"2021","NYC Parks & Recreation/The Arsenal","Manhattan","30","37"
"2021","Coalition for Hispanic Family Services","Brooklyn","120","140"
"2021","Crown Heights Jewish Community Council, Inc","Brooklyn","N/A","N/A"
"2021","Manhattan Youth Recreation and Resources, Inc.","Manhattan","131","147"
"2021","BronxWorks, Inc.","Bronx","N/A","N/A"
"2021","NIA Community Services Network Inc","Brooklyn","231","330"
"2021","Manhattan Youth Recreation and Resources, Inc.","Manhattan","100","120"
"2021","Jacob A. Riis Neighborhood Settlement","Queens","N/A","N/A"
"2021","RiseBoro Community Partnership Inc","Brooklyn","N/A","N/A"
"2021","East Side House, Inc.","Bronx","145","61"
"2021","Make the Road New York","Brooklyn","92","94"
